,ID,Haus/Wohnung,ID.1,Miete/Kauf,address,balcony,builtInKitchen,city,floorplan,from,garden,livingSpace,numberOfRooms,postcode,price,privateOffer,quarter,title,url,price_sq_m,lat1,lon1
3008,83561883,Wohnung,83561883.0,Miete,"Reinhardtstrasse 38, Mitte (Mitte), Berlin",True,True,Berlin,False,001.15693294,False,42.0,1.0,10117.0,799.0,False,Mitte (Mitte),"Designerwohnung im Regierungsviertel, 1 Zimmer",https://www.immobilienscout24.de/expose/83561883,19.0238095238,52.522780000000004,13.379679999999999
3009,83620979,Wohnung,83620979.0,Miete,"Brebacher Weg 51, Biesdorf (Marzahn), Berlin",True,True,Berlin,True,001.319589,False,85.48,3.0,12683.0,934.0,False,Biesdorf (Marzahn),** Besonders LEBEN - höchster WohnKOMFORT **,https://www.immobilienscout24.de/expose/83620979,10.9265325222,52.51676,13.56955
3010,83975773,Wohnung,83975773.0,Miete,"Länderallee 36, Charlottenburg (Charlottenburg), Berlin",True,True,Berlin,False,001.15342161,False,35.0,1.0,14052.0,450.0,False,Charlottenburg (Charlottenburg),Perfekte 1-Zimmerwohnung mit Blick auf Fürstenplatz für Berufspendler,https://www.immobilienscout24.de/expose/83975773,12.857142857100001,52.51214,13.26508
3011,84000120,Wohnung,84000120.0,Miete,"Freigutweg 17, Rudow (Neukölln), Berlin",True,True,Berlin,True,009.d22814b6-6ccd-4466-854a-82d00cfd7a2f,False,80.0,3.0,12355.0,720.0,True,Rudow (Neukölln),Helle Maisonette Wohnung in kleinem DFH im grünen Rudow,https://www.immobilienscout24.de/expose/84000120,9.0,52.42157,13.512329999999999
3012,84040841,Wohnung,84040841.0,Miete,"Bänschstraße 88, Friedrichshain (Friedrichshain), Berlin",True,False,Berlin,True,002.01004490058,False,121.16,4.0,10247.0,1453.92,False,Friedrichshain (Friedrichshain),Maisonettewohnung im Dachgeschoss! Sanierter Altbau mit 4 Zimmer und Terrasse (QG 4. OG + DG rechts),https://www.immobilienscout24.de/expose/84040841,12.0,52.51704,13.47076
3013,84094614,Wohnung,84094614.0,Miete,"Berliner Str. 19, Wilmersdorf (Wilmersdorf), Berlin",True,True,Berlin,True,001.809660,True,137.0,4.0,10715.0,1290.0,False,Wilmersdorf (Wilmersdorf),Großzügige herrschaftliche Altbauwohnung - zentrale Wilmersdorflage,https://www.immobilienscout24.de/expose/84094614,9.41605839416,52.48693000000001,13.32731
3014,84172459,Wohnung,84172459.0,Miete,"Mitte (Mitte), Berlin",True,True,Berlin,True,001.15697929,False,24.58,1.0,10178.0,500.0,False,Mitte (Mitte),Schönes Appartement mit Balkon für Studenten und Azubis - frei ab 16.07.2018,https://www.immobilienscout24.de/expose/84172459,20.3417412531,52.5176896,13.4023757
3015,84371751,Wohnung,84371751.0,Miete,"Passauer Straße 38, Schöneberg (Schöneberg), Berlin",True,True,Berlin,False,001.357345,False,173.43,3.0,10789.0,3999.0,False,Schöneberg (Schöneberg),Luxuriöse Wohnträume in unmittelbarer Nähe des KaDeWe genießen,https://www.immobilienscout24.de/expose/84371751,23.0582944127,52.50116,13.34005
3016,84431224,Wohnung,84431224.0,Miete,"Karmeliterweg 73, Frohnau (Reinickendorf), Berlin",True,True,Berlin,False,001.4115642,True,107.0,3.0,13465.0,1180.0,True,Frohnau (Reinickendorf),Schöne Terrassenwohnung im grünen Frohnau,https://www.immobilienscout24.de/expose/84431224,11.0280373832,52.627990000000004,13.275870000000001
3017,84465340,Wohnung,84465340.0,Miete,"Siemensstadt (Spandau), Berlin",True,True,Berlin,False,001.16064782,False,79.41,3.0,12369.0,873.51,False,Siemensstadt (Spandau),3 Zimmerwohnung im Neubau,https://www.immobilienscout24.de/expose/84465340,11.0,52.5398082,13.2568934
