ID,Haus/Wohnung,ID,Miete/Kauf,address,balcony,builtInKitchen,city,floorplan,from,garden,lat,livingSpace,lon,numberOfRooms,postcode,price,privateOffer,quarter,title,url,price_sq_m
100752100,Wohnung,100752100,Miete,"Am Hamburger Bahnhof 3, Tiergarten (Tiergarten), Berlin",true,true,Berlin,true,001.63,false,52.52968,83.81,13.37038,3,10557,1508.58,false,Tiergarten (Tiergarten),Neubauwohnung mit Klimaanlage in Toplage - Concierge-Service,https://www.immobilienscout24.de/expose/100752100,18.0
100752406,Wohnung,100752406,Miete,"Charlottenburg (Charlottenburg), Berlin",true,true,Berlin,true,001.5327023,false,,319,,7,10629,6060,false,Charlottenburg (Charlottenburg),Prachtvoller Stuckaltbau im Erstbezug nahe Ku‘damm,https://www.immobilienscout24.de/expose/100752406,18.9968652038
100757612,Wohnung,100757612,Miete,"Mitte (Mitte), Berlin",true,true,Berlin,true,002.01006554579,false,,83.16,,3,10117,2000,false,Mitte (Mitte),Möblierte 3 Zimmer-Luxuswohnung - Wohnen am Spittelmarkt!,https://www.immobilienscout24.de/expose/100757612,24.05002405
100774850,Wohnung,100774850,Miete,"Danziger Straße 146, Prenzlauer Berg (Prenzlauer Berg), Berlin",false,false,Berlin,false,001.15767073,false,52.53411,54.92,13.43596,2,10407,605,false,Prenzlauer Berg (Prenzlauer Berg),Sanierte 2-Zimmer-Wohnung im Prenzlauer Berg zu vermieten! Besichtigung am 21.06.2018 um 19:00 Uhr,https://www.immobilienscout24.de/expose/100774850,11.0160233066
100804968,Wohnung,100804968,Miete,"Am Hamburger Bahnhof 3, Tiergarten (Tiergarten), Berlin",true,true,Berlin,true,001.505021,false,52.52968,67.27,13.37038,2,10557,1110,false,Tiergarten (Tiergarten),Erstbezug - 2-Zimmer-Wohnung mit Wasserblick,https://www.immobilienscout24.de/expose/100804968,16.500668946
100825686,Wohnung,100825686,Miete,"Chausseestraße 58E, Mitte (Mitte), Berlin",true,true,Berlin,true,009.e42af381-c683-4007-9169-06f9ca4ee849,true,52.53637,100,13.37625,3,10115,1799,true,Mitte (Mitte),NEUBAU !! Traumwohnung zum Wohlfühlen!! lichtdurchflutet!! bodengleich!!!,https://www.immobilienscout24.de/expose/100825686,17.99
100830118,Wohnung,100830118,Miete,"Alte Jakobstr. 78a, Mitte (Mitte), Berlin",false,true,Berlin,true,009.410376cf-3045-4f0c-a63f-c08853a566ce,false,52.51061,33,13.40786,1.5,10179,990,true,Mitte (Mitte),TOP möbliertes Apartment *MITTE* // Furnished apartment in Mitte //EUR 1200.00,https://www.immobilienscout24.de/expose/100830118,30.0
100843436,Wohnung,100843436,Miete,"Potsdamer Str. 98, Tiergarten (Tiergarten), Berlin",true,true,Berlin,false,001.719760,false,52.50196,177,13.36395,4,10785,2838,false,Tiergarten (Tiergarten),Penthaus-Neubau - Erstbezug - ca. 177 m² - Kunstpalais Potsdamer Str. 98,https://www.immobilienscout24.de/expose/100843436,16.0338983051
100908634,Wohnung,100908634,Miete,"Michaelkirchstraße 16, Mitte (Mitte), Berlin",true,false,Berlin,false,001.16199948,true,52.51104,87.5,13.42236,3,10179,1391.25,true,Mitte (Mitte),"Schöne drei Zimmer Wohnung mit Garten in Berlin, Mitte, !!!Erstbezug!!!",https://www.immobilienscout24.de/expose/100908634,15.9
100914394,Wohnung,100914394,Miete,"Schützenstr. 2, Steglitz (Steglitz), Berlin",false,false,Berlin,true,002.01000732049,false,52.45513,94.44,13.32459,3,12165,1057.5,false,Steglitz (Steglitz),"Modernes Dachgeschoss nahe ""Schloss""! Auch teilgewerblich möglich!",https://www.immobilienscout24.de/expose/100914394,11.1975857687
100932697,Wohnung,100932697,Miete,"Galenusstr. 63 A, Pankow (Pankow), Berlin",true,true,Berlin,true,001.63,false,52.57998,114.41,13.4221,3,13187,1498.77,false,Pankow (Pankow),Schick und modern - großzügige 3-Zimmer-Wohnung,https://www.immobilienscout24.de/expose/100932697,13.0999912595
100938061,Wohnung,100938061,Miete,"Am Hamburger Bahnhof 3, Tiergarten (Tiergarten), Berlin",true,false,Berlin,true,001.63,false,52.52968,92.83,13.37038,3,10557,1670.94,false,Tiergarten (Tiergarten),Neubauwohnung in Designobjekt mit Concierge-Service,https://www.immobilienscout24.de/expose/100938061,18.0
101075454,Wohnung,101075454,Miete,"Nikolassee (Zehlendorf), Berlin",true,true,Berlin,false,001.15999687,true,,72,,3,14129,970,true,Nikolassee (Zehlendorf),"Traumhafte Wohnung mit Weitblick in die Natur, der See ist nebenan",https://www.immobilienscout24.de/expose/101075454,13.4722222222
101089727,Wohnung,101089727,Miete,"Lepsiusstrasse 52, Steglitz (Steglitz), Berlin",false,false,Berlin,false,001.1242005,false,52.46161,70.66,13.31774,3,12163,855,false,Steglitz (Steglitz),Steglitz! - Boulevard Nähe 3 Zimmerwohnung - Wannenbad - Wg- taugl. 3 Zimmerwohnung - 949 €+HK,https://www.immobilienscout24.de/expose/101089727,12.1001981319
101117976,Wohnung,101117976,Miete,"Am Iderfenngraben 12, Niederschönhausen (Pankow), Berlin",true,true,Berlin,false,001.1900638,false,52.58322,110.19,13.39188,3,13156,1079.86,false,Niederschönhausen (Pankow),Traumhafte DG-Wohnung in Pankow,https://www.immobilienscout24.de/expose/101117976,9.79998184953
101145749,Wohnung,101145749,Miete,"Schöneberg (Schöneberg), Berlin",true,false,Berlin,true,009.90e06f4a-4482-4dc4-aa55-f0f5f641aa42,false,,158.56,,4,10777,2061.28,true,Schöneberg (Schöneberg),frisch kernsanierte und modernisierte berliner Altbauwohnung mit 2 Balkonen,https://www.immobilienscout24.de/expose/101145749,13.0
101244741,Wohnung,101244741,Miete,"Schöneberg (Schöneberg), Berlin",true,true,Berlin,true,001.5327023,false,,230,,5.5,10789,3500,false,Schöneberg (Schöneberg),Lichtdurchflutete Altbauwohnung am Wittenbergplatz,https://www.immobilienscout24.de/expose/101244741,15.2173913043
101246278,Wohnung,101246278,Miete,"Lichterfelde (Steglitz), Berlin",true,false,Berlin,false,001.14132501,false,,74.12,,2.5,12207,705,false,Lichterfelde (Steglitz),"ME31 FREI ab 15.06. | Toll geschnittene 2,5-ZIMMER + Essdiele | STELLPLATZ | WEST-LOGGIA | LIFT",https://www.immobilienscout24.de/expose/101246278,9.51160280626
101254811,Wohnung,101254811,Miete,"Jahnstraße  15, Kreuzberg (Kreuzberg), Berlin",false,false,Berlin,false,001.8347,false,52.4887,56.13,13.41981,1,10967,813.89,false,Kreuzberg (Kreuzberg),Und plötzlich hört die Suche auf -  Erstbezug nach Sanierung,https://www.immobilienscout24.de/expose/101254811,14.5000890789
101273996,Wohnung,101273996,Miete,"Lichtungsweg 12, Frohnau (Reinickendorf), Berlin",true,true,Berlin,true,001.5411661,false,52.633,61.34,13.26684,2,13465,675,true,Frohnau (Reinickendorf),Topsanierte helle 2-Zimmer Wohnung in Berlin-Frohnau,https://www.immobilienscout24.de/expose/101273996,11.0042386697
101392315,Wohnung,101392315,Miete,"Badstraße 20, Wedding (Wedding), Berlin",true,false,Berlin,false,002.01002844369,false,52.55204,144.43,13.38324,4,13357,1599,false,Wedding (Wedding),"***Erstbezug nach hochwertiger Sanierung, zentrale Lage, Dachterrasse***",https://www.immobilienscout24.de/expose/101392315,11.0711071107
